Name	Area	Battle Tokens	Day	Done	Due	Link	Naipe	Prioridade	Project	Status	Sub Áreas
Registrar resultado A1 Secagem — nota 1,7/3	Unicamp	50	Thursday	Yes	14-May-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Auditar A1 Secagem — pasta e outputs de IA	Unicamp	50	Sunday	Yes	11-May-26 14:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Laboratório Experimento 1 — A1 Secagem	Unicamp	50	Thursday	Yes	5-Mar-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A1 Secagem — impressa	Unicamp	50	Thursday	Yes	12-Mar-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A1 Secagem — Classroom	Unicamp	50	Thursday	Yes	12-Mar-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Secagem — impresso	Unicamp	50	Thursday	Yes	19-Mar-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Secagem — Classroom	Unicamp	50	Thursday	Yes	19-Mar-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Laboratório Experimento 2 — A2 Transferência de Calor	Unicamp	50	Thursday	Yes	19-Mar-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A2 Calor — impressa	Unicamp	50	Thursday	Yes	26-Mar-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A2 Calor — Classroom	Unicamp	50	Thursday	Yes	26-Mar-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Calor — impresso	Unicamp	50	Thursday	Yes	9-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Calor — Classroom	Unicamp	50	Thursday	Yes	9-Apr-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Laboratório Experimento 3 — A3 Filtração	Unicamp	50	Thursday	Yes	9-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A3 Filtração — impressa	Unicamp	50	Thursday	Yes	16-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A3 Filtração — Classroom	Unicamp	50	Thursday	Yes	16-Apr-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Filtração — impresso	Unicamp	50	Thursday	Yes	23-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar relatório A3 Filtração — Classroom	Unicamp	50	Thursday	Yes	23-Apr-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Laboratório Experimento 4 — A4 Sedimentação	Unicamp	50	Thursday	Yes	23-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A4 Sedimentação — impressa	Unicamp	50	Thursday	Yes	30-Apr-26 12:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Entregar planilha A4 Sedimentação — Classroom	Unicamp	50	Thursday	Yes	30-Apr-26 17:00	https://...	♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Done	
Validar auditoria Lab 1 — Drive + Notion	Unicamp	0	Sunday	No	17-May-26 10:00	https://...	♦️ Ouros	P 2	LE704 - Laboratório de Engenharia 1	Not started	
Aula 1 - Introdução | ER704	Unicamp	50	Friday	Yes	27-Feb-26 14:00	https://...	♣️ Paus	P 1	Engenharia Econômica	Done	
Aula 2 - Juros Simples | ER704	Unicamp	50	Friday	Yes	6-Mar-26 14:00	https://...	♣️ Paus	P 1	Engenharia Econômica	Done	
Entregar Atividades 1 e 2 (Juros Simples/Compostos) — Classroom | ER704	Unicamp	50	Friday	Yes	13-Mar-26 10:00	https://...	♦️ Ouros	P 1	Engenharia Econômica	Done	
Entregar Atividades 1 e 2 (Juros Simples/Compostos) — Impressa | ER704	Unicamp	50	Friday	Yes	13-Mar-26 10:30	https://...	♠️ Espadas	P 1	Engenharia Econômica	Done	
Aula 3 - Descontos | ER704	Unicamp	50	Friday	Yes	13-Mar-26 14:00	https://...	♣️ Paus	P 1	Engenharia Econômica	Done	
Aula 4 - Inflação | ER704	Unicamp	50	Friday	Yes	20-Mar-26 14:00	https://...	♣️ Paus	P 1	Engenharia Econômica	Done	
Entregar Atividade 3 (Descontos) — Classroom | ER704	Unicamp	50	Friday	Yes	20-Mar-26 10:00	https://...	♦️ Ouros	P 1	Engenharia Econômica	Done	
Entregar Atividade 3 (Descontos) — Impressa | ER704	Unicamp	50	Friday	Yes	20-Mar-26 10:30	https://...	♠️ Espadas	P 1	Engenharia Econômica	Done	
Ensinar a mãe a atualizar o catálogo de forma independente	Pessoal	0	Sunday	No	17-May-26 15:00		♣️ Paus	P 2	Dindoca	Not started	
Levantar produtos da mãe — fotos, nomes e preços	Pessoal	0	Wednesday	No	14-May-26 14:00		♣️ Paus	P 1	Dindoca	Not started	
Definir formato do catálogo — PDF, imagem ou link	Pessoal	0	Tuesday	No	13-May-26 10:00		♦️ Ouros	P 1	Dindoca	Not started	
Criar catálogo digital v1 para WhatsApp	Pessoal	0	Thursday	No	15-May-26 10:00		♦️ Ouros	P 1	Dindoca	Not started	
Publicar catálogo final nos grupos de WhatsApp	Pessoal	0	Sunday	No	18-May-26 10:00		♣️ Paus	P 2	Dindoca	Not started	
Testar catálogo com a mãe em grupo de WhatsApp real	Pessoal	0	Saturday	No	16-May-26 14:00		♣️ Paus	P 2	Dindoca	Not started	
Mapear apartamentos visitados e em avaliação	Pessoal	0	Wednesday	No	21-May-26 10:00		♦️ Ouros	P 2	Apartamento	Not started	
Alinhar orçamento máximo por pessoa com os amigos	Pessoal	0	Wednesday	No	21-May-26 16:00		♣️ Paus	P 2	Apartamento	Not started	
Revisar contrato e cláusulas críticas antes de assinar	Pessoal	0	Wednesday	No	4-Jun-26 10:00		♦️ Ouros	P 1	Apartamento	Not started	
Definir critérios de decisão com os dois amigos	Pessoal	0	Wednesday	No	21-May-26 14:00		♣️ Paus	P 2	Apartamento	Not started	
Planejar logística de mudança com os amigos	Pessoal	0	Wednesday	No	11-Jun-26 10:00		♣️ Paus	P 3	Apartamento	Not started	
Definir MVP do ApartaRank — features mínimas para decidir o ap	Profissional	0	Wednesday	No	21-May-26 11:00		♦️ Ouros	P 2	ApartaRank	Not started	
Testar ApartaRank com os amigos usando aptos reais	Profissional	0	Friday	No	30-May-26 14:00		♣️ Paus	P 2	ApartaRank	Not started	
Documentar código e preservar como Resource no Notion	Profissional	0	Wednesday	No	4-Jun-26 14:00		♦️ Ouros	P 4	ApartaRank	Not started	
Auditar estado atual do ApartaRank_Web no Drive	Profissional	0	Wednesday	No	21-May-26 9:00		♦️ Ouros	P 2	ApartaRank	Not started	
Implementar MVP local funcional do ApartaRank	Profissional	0	Wednesday	No	28-May-26 10:00		♦️ Ouros	P 3	ApartaRank	Not started	
Seguir plano alimentar — checar compras da semana	Saúde	0	Monday	No	13-May-26 9:00		♥️ Copas	P 3	Nutricionista	Not started	
Preparar situações difíceis para discutir na próxima consulta	Saúde	0	Tuesday	No	20-May-26 10:00		♦️ Ouros	P 3	Nutricionista	Not started	
Revisar progresso da academia após 4 semanas	Saúde	0	Wednesday	No	11-Jun-26 10:00		♦️ Ouros	P 4	Academia	Not started	
Agendar próxima consulta com a nutricionista	Saúde	0	Tuesday	No	13-May-26 10:00		♣️ Paus	P 3	Nutricionista	Not started	
Definir treino semanal com horários fixos	Saúde	0	Tuesday	No	13-May-26 20:00		♦️ Ouros	P 3	Academia	Not started	
Revisar ficha de treino atual e ajustar se desatualizada	Saúde	0	Tuesday	No	13-May-26 21:00		♦️ Ouros	P 3	Academia	Not started	
Aplicar primeira técnica do LLMOps no 2° Cérebro	Estudo	0	Wednesday	No	11-Jun-26 10:00		♦️ Ouros	P 4	LLMOps	Not started	
Fazer revisão formal das Areas ativas	Estudo	0	Wednesday	No	21-May-26 10:00		♦️ Ouros	P 3	2° Cérebro	Not started	
Concluir módulo de RAG do curso LLMOps	Estudo	0	Wednesday	No	18-Jun-26 10:00		♦️ Ouros	P 5	LLMOps	Not started	
Revisar e atualizar Claude Skills no Notion	Estudo	0	Wednesday	No	28-May-26 10:00		♦️ Ouros	P 4	2° Cérebro	Not started	
Acessar curso LLMOps Duke/Coursera e mapear módulos	Estudo	0	Wednesday	No	28-May-26 14:00		♦️ Ouros	P 5	LLMOps	Not started	
Processar Inbox — triar todos os itens sem projeto ou área	Estudo	0	Monday	No	18-May-26 9:00		♦️ Ouros	P 3	2° Cérebro	Not started	
Fazer revisão semanal do 2° Cérebro — ritual de fechamento	Estudo	0	Sunday	No	18-May-26 20:00		♦️ Ouros	P 3	2° Cérebro	Not started	
Assistir módulo 1 do LLMOps e fazer anotacões	Estudo	0	Wednesday	No	4-Jun-26 10:00		♦️ Ouros	P 5	LLMOps	Not started	
Fazer simulado com questões da prova antiga de Lab 1	Unicamp	0	Tuesday	No	16-Jun-26 10:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Criar Caderno de Bolso — A1 Secagem	Unicamp	0	Wednesday	No	28-May-26 10:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Criar Caderno de Bolso — A3 Filtração	Unicamp	0	Friday	No	30-May-26 10:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Preparar apresentação Pitch Lab 1 — treinar para qualquer apresentador	Unicamp	0	Monday	No	19-May-26 14:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Resolver exercícios de Lab 1 — Cremasco + McCabe	Unicamp	0	Monday	No	8-Jun-26 10:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Criar Caderno de Bolso — A2 Transferência de Calor	Unicamp	0	Thursday	No	29-May-26 10:00		♦️ Ouros	P 1	LE704 - Laboratório de Engenharia 1	Not started	
Verificar datas de provas e trabalhos restantes — Eng. Econômica	Unicamp	0	Friday	No	15-May-26 14:30		♦️ Ouros	P 2	Engenharia Econômica	Not started	
Organizar repouso pós-operatório no calendário	Saúde	0	Tuesday	No	13-May-26 14:00		♦️ Ouros	P 1	Cirurgia	Not started	
Comunicar cirurgia aos professores e grupo do Lab 1	Saúde	0	Tuesday	No	20-May-26 10:00		♣️ Paus	P 2	Cirurgia	Not started	
Ir à aula de Eng. Econômica — sexta 14h-18h	Unicamp	0	Friday	No	16-May-26 14:00		♠️ Espadas	P 2	Engenharia Econômica	Not started	
Estudar para P2 — Eng. Econômica	Unicamp	0	Wednesday	No	3-Jun-26 10:00		♦️ Ouros	P 2	Engenharia Econômica	Not started	
Confirmar critério de aprovação e faltas acumuladas — Eng. Econômica	Unicamp	0	Friday	No	15-May-26 14:00		♦️ Ouros	P 2	Engenharia Econômica	Not started
